adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
US,2020-11-05,0.01,1.0650189080465948,218302.1624983469,0.8476888581277232,13094816.039519167,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,43255.486938605114,13.070905063673207,12394.68529894763,8798.476013171898,161257.86925517145,1215.9025524199865,0.0,121184.62135839276,91.63175087767046,330929547.17283666
US,2020-11-05,0.025,1.0671012431005868,248316.64115387906,0.8477136471633716,13095445.330397114,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,43529.27514415549,13.153638143233303,12765.305288685851,9123.96898486667,161269.00972645346,1215.9025524199865,0.0,121184.62135839276,94.59931752425942,330929547.17283666
US,2020-11-05,0.05,1.068509501109077,276759.9599019648,0.8477301111227004,13096039.065917475,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,43764.63058331307,13.224757643189786,13117.001212366265,9418.455166094871,161277.88546912506,1215.9025524199865,0.0,121184.62135839276,97.03259437735436,330929547.17283666
US,2020-11-05,0.1,1.0704511187345485,316769.5202763409,0.8477516486419079,13096740.042839115,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44039.648703989296,13.30786237742272,13607.240884646724,9890.2527051449,161287.47751244227,1215.9025524199865,0.0,121184.62135839276,100.44631511652462,330929547.17283666
US,2020-11-05,0.15,1.0715375346579308,341649.0159242088,0.8477667154091119,13097197.425316324,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44266.77204535496,13.376494309296437,13883.723982931688,10156.779051414294,161295.39670862118,1215.9025524199865,0.0,121184.62135839276,102.99860908502936,330929547.17283666
US,2020-11-05,0.2,1.0725231050793518,366880.33277443313,0.8477793294330974,13097584.181673147,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44449.26857562742,13.4316409505775,14110.514874947808,10390.252311193392,161301.01428016933,1215.9025524199865,0.0,121184.62135839276,105.24102185083879,330929547.17283666
US,2020-11-05,0.25,1.0733958270328516,392355.67629079643,0.8477894925389762,13097890.18958382,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44595.828906864714,13.475928422787035,14314.041439287517,10638.293945198158,161305.69574590772,1215.9025524199865,0.0,121184.62135839276,107.71589135482006,330929547.17283666
US,2020-11-05,0.3,1.0740362243428163,414433.34385492885,0.8477988628233342,13098197.459157847,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44732.63081031979,13.517267101857481,14490.627435405637,10799.453122924277,161309.9704036923,1215.9025524199865,0.0,121184.62135839276,110.20302138626387,330929547.17283666
US,2020-11-05,0.35,1.0747423463509655,439029.14260776,0.8478088774267735,13098458.97609456,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,44884.952606820545,13.563295568581614,14681.208427755128,10971.346315561348,161314.15086767595,1215.9025524199865,0.0,121184.62135839276,112.94238898668013,330929547.17283666
US,2020-11-05,0.4,1.075368863327878,458951.1835791064,0.8478180267631952,13098712.94327719,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,45045.83116170994,13.611909709042564,14846.2085612953,11133.216720980998,161317.9191408784,1215.9025524199865,0.0,121184.62135839276,115.49479901296888,330929547.17283666
US,2020-11-05,0.45,1.075947629793155,480442.51761682774,0.8478252207014167,13098920.38988213,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,45223.11229720873,13.665480366910172,14983.040531085691,11292.262407993265,161321.57705377016,1215.9025524199865,0.0,121184.62135839276,117.94893820719945,330929547.17283666
US,2020-11-05,0.5,1.0765814458995893,501779.536512585,0.8478324648989525,13099152.23016326,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,45448.26237250455,13.733516018975479,15131.477326725215,11440.665694681884,161325.47982588687,1215.9025524199865,0.0,121184.62135839276,121.12128588290399,330929547.17283666
US,2020-11-05,0.55,1.0772483905324337,524423.6904246708,0.8478399868188582,13099390.420926236,233709.00000000012,70.62198041746309,9564858.00000001,2890.3003922476923,45678.51807295205,13.803094484366255,15309.40425962284,11610.906666306242,161328.94941382567,1215.9025524199865,0.0,121184.62135839276,124.55177586952007,330929547.17283666
