adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
US,2020-10-21,0.01,1.0351608677098412,140359.27542845492,0.7109549025793863,13377219.720673366,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36127.21263099168,10.916889392207484,10235.36927416283,7154.9342052679385,95119.31777596932,1129.4924074048731,0.0,62512.208936460265,127.45195321701824,330929547.17283666
US,2020-10-21,0.025,1.0362024940696597,159510.30068353994,0.71578345133414,13448310.250450047,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36282.88672191271,10.963930852316132,10643.20643308084,7519.997561204905,95615.28558304644,1129.4924074048731,0.0,62512.208936460265,132.07000330431217,330929547.17283666
US,2020-10-21,0.05,1.0373366714611958,179859.52372628349,0.7201086474250529,13510270.667208588,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36414.158203834486,11.003598353463504,10920.491268645756,7832.567609956764,96179.61262922184,1129.4924074048731,0.0,62512.208936460265,136.45246483398893,330929547.17283666
US,2020-10-21,0.1,1.038568526782452,209638.44153902854,0.7245213546986824,13585747.571835833,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36594.93133413212,11.058224219253363,11251.32519465394,8174.875195149821,96847.69748355883,1129.4924074048731,0.0,62512.208936460265,142.46163371120468,330929547.17283666
US,2020-10-21,0.15,1.039560996257815,230313.15994391227,0.7272434889155254,13640051.33275372,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36737.363022423946,11.101264101762691,11492.209579395938,8410.380850831769,97249.6320283784,1129.4924074048731,0.0,62512.208936460265,147.8139804306419,330929547.17283666
US,2020-10-21,0.2,1.0402648200965237,249739.7344999227,0.7294529145694043,13682557.854048776,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36856.68497844699,11.137320705665973,11688.883960356543,8593.356676629028,97571.47367949107,1129.4924074048731,0.0,62512.208936460265,152.018517173642,330929547.17283666
US,2020-10-21,0.25,1.0408758976592576,269717.4481819218,0.7317040092870469,13716078.165735085,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,36956.74191772962,11.16755582372582,11850.94593884688,8770.625082556493,97846.09336025645,1129.4924074048731,0.0,62512.208936460265,156.32595709125974,330929547.17283666
US,2020-10-21,0.3,1.0414852930733425,290155.3591051684,0.7333933348854549,13750103.9207662,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37052.3103853127,11.196434619348494,11993.941790684443,8919.785228734332,98130.54084302812,1129.4924074048731,0.0,62512.208936460265,160.80752911931955,330929547.17283666
US,2020-10-21,0.35,1.0419953502641397,305897.94011314237,0.7349299975533111,13781021.149962476,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37149.84074899957,11.225906259013216,12128.423398159117,9061.4844746046,98360.31776966076,1129.4924074048731,0.0,62512.208936460265,165.35735229327767,330929547.17283666
US,2020-10-21,0.4,1.0425321051972356,322646.2712725575,0.7365017826160325,13810811.470089842,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37247.91950396578,11.255543611073225,12258.253494954934,9192.846548833297,98597.089511718,1129.4924074048731,0.0,62512.208936460265,170.15617282921002,330929547.17283666
US,2020-10-21,0.45,1.043043643423611,341800.33903556585,0.7379076944008001,13842956.673173536,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37373.4827400463,11.293486199504272,12379.037191021074,9326.548017584742,98837.42332492066,1129.4924074048731,0.0,62512.208936460265,174.9697318032367,330929547.17283666
US,2020-10-21,0.5,1.0435083589817928,358895.00501799514,0.7393804116105116,13868967.893338727,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37500.711524228594,11.33193208179832,12500.316674912061,9476.09893951057,99094.6071904806,1129.4924074048731,0.0,62512.208936460265,179.5526266617292,330929547.17283666
US,2020-10-21,0.55,1.0440106333036294,375589.0995838017,0.7408539675667275,13897919.790724367,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37666.88922823625,11.38214751448704,12634.105059430027,9603.462014537849,99322.35948094487,1129.4924074048731,0.0,62512.208936460265,185.89874321850237,330929547.17283666
US,2020-10-21,0.6,1.0444608726441027,396039.291182751,0.7421802819203339,13926170.673400993,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,37842.2741313479,11.435145170516845,12763.931138365138,9740.95676477532,99624.52026884482,1129.4924074048731,0.0,62512.208936460265,192.46747531934105,330929547.17283666
US,2020-10-21,0.65,1.044884317286003,415053.6308858952,0.7436058290926473,13956296.787891045,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,38083.94147170855,11.508171995236859,12897.65757432646,9889.036978915814,99892.24237697547,1129.4924074048731,0.0,62512.208936460265,201.22422342125256,330929547.17283666
US,2020-10-21,0.7,1.0454180224097045,434008.73081720975,0.7449814076840358,13986295.647516787,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,38296.42738685194,11.57238080250677,13065.23427788186,10032.060323460384,100170.06377647312,1129.4924074048731,0.0,62512.208936460265,211.946097173754,330929547.17283666
US,2020-10-21,0.75,1.0460517410653234,455699.6913900484,0.7465845154297001,14025529.918550124,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,38577.640478731184,11.657357527698482,13223.918107880196,10205.892754017716,100467.26173716367,1129.4924074048731,0.0,62512.208936460265,224.9620273725124,330929547.17283666
US,2020-10-21,0.8,1.046695835425589,482896.68988746096,0.7483327188093462,14063498.714871258,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,38892.42943310055,11.752480177536988,13389.168372183309,10405.723287865309,100805.99368246467,1129.4924074048731,0.0,62512.208936460265,245.76054997094283,330929547.17283666
US,2020-10-21,0.85,1.0474449652470768,512962.027191019,0.7503594028760204,14103746.164915916,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,39285.53803137582,11.87126938860431,13637.429043424363,10621.874542508083,101197.64263494595,1129.4924074048731,0.0,62512.208936460265,274.1461274960704,330929547.17283666
US,2020-10-21,0.9,1.048369548098711,549292.5639881279,0.7530908101391375,14176516.462352907,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,39708.628308623214,11.999118437098735,13872.972776513001,10894.045542507272,101726.34405546027,1129.4924074048731,0.0,62512.208936460265,332.1572058219145,330929547.17283666
US,2020-10-21,0.95,1.0497612196424269,609831.9074671513,0.7568413842943273,14273470.828690713,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,40369.73549098582,12.198891224995892,14331.160862504046,11354.065190666846,102534.04607789476,1129.4924074048731,0.0,62512.208936460265,482.2486774336142,330929547.17283666
US,2020-10-21,0.975,1.0509012723182087,662950.8616964784,0.7597595688836305,14358490.232060118,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,41010.751225645785,12.39259279686707,14805.497452733496,11728.20817008323,103182.32641101167,1129.4924074048731,0.0,62512.208936460265,780.9890774480784,330929547.17283666
US,2020-10-21,0.99,1.052364354347135,736612.2363562948,0.7631901334243142,14475414.58653856,221115.99999999997,66.81663873444225,8302187.9999999935,2508.747880304553,41502.790787963444,12.541276879784784,15304.726261202852,12138.581675537305,104231.92153535696,1129.4924074048731,0.0,62512.208936460265,1430.4697563111554,330929547.17283666
